ID,v0,v1,v2,v3,v4,v5,v6,v7
:R:A:BAS:JET_:dioBAS-REVCTL:V_valueTable_dovname,dovBAS-CTLVAL1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:JET_:dioBAS-REVCTL:V_valueTable_label,&DB_FANZ2,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:JET_:dioBAS-REVCTL:V_valueTable_value,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:JET_:dioBAS-STOP:V_valueTable_dovname,dovBAS-CTLVAL1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:JET_:dioBAS-STOP:V_valueTable_label,&DB_TING1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:JET_:dioBAS-STOP:V_valueTable_value,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FAND:dioBAS-MANAUTO:V_valueTable_dovname,dovBAS-CTLVAL0,dovBAS-CTLVAL1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FAND:dioBAS-MANAUTO:V_valueTable_label,&DB_ZIDO2,&DB_SHOU2,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FAND:dioBAS-MANAUTO:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FAND:dioBAS-START:V_valueTable_dovname,dovBAS-CTLVAL1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FAND:dioBAS-START:V_valueTable_label,&DB_QIDO2,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FAND:dioBAS-START:V_valueTable_value,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FAND:dioBAS-STOP:V_valueTable_dovname,dovBAS-CTLVAL1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FAND:dioBAS-STOP:V_valueTable_label,&DB_TING1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FAND:dioBAS-STOP:V_valueTable_value,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FANX:dioBAS-MANAUTO:V_valueTable_dovname,dovBAS-CTLVAL0,dovBAS-CTLVAL1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FANX:dioBAS-MANAUTO:V_valueTable_label,&DB_ZIDO2,&DB_SHOU2,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FANX:dioBAS-MANAUTO:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FANX:dioBAS-START:V_valueTable_dovname,dovBAS-CTLVAL1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FANX:dioBAS-START:V_valueTable_label,&DB_QIDO2,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FANX:dioBAS-START:V_valueTable_value,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FANX:dioBAS-STOP:V_valueTable_dovname,dovBAS-CTLVAL1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FANX:dioBAS-STOP:V_valueTable_label,&DB_TING1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FANX:dioBAS-STOP:V_valueTable_value,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FANR:dioBAS-MANAUTO:V_valueTable_dovname,dovBAS-CTLVAL0,dovBAS-CTLVAL1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FANR:dioBAS-MANAUTO:V_valueTable_label,&DB_ZIDO2,&DB_SHOU2,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FANR:dioBAS-MANAUTO:V_valueTable_value,0,1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FANR:dioBAS-START:V_valueTable_dovname,dovBAS-CTLVAL1,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
:R:A:BAS:FANR:dioBAS-START:V_valueTable_label,&DB_QIDO2,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__,__ERASE__
